HiringGeo,RequirementLocation,AllowedCountry
ITGUR,Offshore,India
ITGUR,Onsite,India
ITHYD,Offshore,India
ITHYD,Onsite,India
ITPUN,Offshore,India
ITPUN,Onsite,India
ITAUT,Offshore,India
ITAUT,Onsite,Australia
ITI2A,Offshore,India
ITI2A,Onsite,Australia
ITI2B,Offshore,India
ITI2B,Onsite,Brazil
HRBTM,Offshore,India
HRBTM,Onsite,United States
I2USA,Offshore,India
I2USA,Onsite,United States
I2AUS,Offshore,India
I2AUS,Onsite,Australia
I2CAN,Offshore,India
I2CAN,Onsite,Canada
I2GBR,Offshore,India
I2GBR,Onsite,United Kingdom
I2DEU,Offshore,India
I2DEU,Onsite,Germany
I2FRA,Offshore,India
I2FRA,Onsite,France
I2NLD,Offshore,India
I2NLD,Onsite,Netherlands
I2ITA,Offline,India
I2ITA,Onsite,Italy
I2SGP,Offshore,India
I2SGP,Onsite,Singapore
I2MYS,Offshore,India
I2MYS,Onsite,Malaysia
I2ARE,Offshore,India
I2ARE,Onsite,UAE
I2SAU,Offshore,India
I2SAU,Onsite,Saudi Arabia
I2BRA,Offshore,India
I2BRA,Onsite,Brazil
I2POL,Offshore,India
I2POL,Onsite,Poland
I2MEX,Offshore,India
I2MEX,Onsite,Mexico
I2ZAF,Offshore,India
I2ZAF,Onsite,South Africa
I2JPN,Offshore,India
I2JPN,Onsite,Japan
I2CHN,Offshore,India
I2CHN,Onsite,China
I2CHE,Offshore,India
I2CHE,Onsite,Switzerland
I2SWE,Offshore,India
I2SWE,Onsite,Sweden
I3LBN,Offshore,India
I3LBN,Onsite,Lebanon
I3LKN,Offshore,India
I3LKN,Onsite,Kenya
I2ITA,Offshore,India
